Batch_ID,Brand,Vibe,Winning_Trace_ID,Simulated_CTR (%),Simulated_Likes,Simulated_Total_Reactions,Simulated_Total_Comments,DB_Reward_Score (reward_rt),DB_Visual_Score (vst),DB_Alignment_Score (at),DB_Like_Viral_Score (lv),DB_PPO_Clip_Score,Learned_Policy_Highest_Reward,Learned_Policy_Caption,Learned_Policy_Prompt,Local_JSON_Reward_Score,Winning_Headline_Extracted
1094,Anastasia Beverly Hills,Luxury,1426,11.1,19,0,0,17.32,5.55,1.9,9.8,0.5,17.32,"{""headline"": ""Define Your Look with Divine Mascara - Where Luxury Meets Precision"", ""body"": ""Experience the epitome of luxury eye makeup with Anastasia Beverly Hills' Divine Mascara, crafted with Retinol to create the perfect, long-lasting lash look."", ""hashtags"": [""#DivineMascara"", ""#LuxuryEyeMakeup"", ""#AnastasiaBeverlyHills""]}",Generated for Luxury vibe,17.32,Define Your Look with Divine Mascara - Where Luxury Meets Precision
1095,Anastasia Beverly Hills,Nature,1429,9.9,20,0,0,17.28,4.95,2.0,10.4,0.5,17.28,"{""headline"": ""Blossoming Beauty"", ""body"": ""Just as a flower blooms in the spring, your lashes can burst with color and life using Anastasia Beverly Hills' Divine Mascara. Powered by retinol, discover a more radiant you."", ""hashtags"": [""#AnastasiaBeverlyHills"", ""#LashBlossom"", ""#RetinolRevival""]}",Generated for Nature vibe,17.28,Blossoming Beauty
1096,Farsali,Minimalist,1433,11.3,20,0,0,26.82,5.65,2.0,19.2,0.5,26.82,"{""headline"": ""Less is More, Beautifully"", ""body"": ""Embracing a skincare revolution that's all about simplicity and effectiveness. Our Salicylic Acid Lip Gloss is the perfect blend of natural ingredients and cutting-edge formulation."", ""hashtags"": [""#NaturalRevolution"", ""#SimplicityMeetsEffectiveness"", ""#SkincareEvolved""]}",Generated for Minimalist vibe,26.82,"Less is More, Beautifully"
1097,Farsali,Luxury,1439,9.7,20,0,0,20.33,4.85,2.0,13.4,0.5,20.33,"{""headline"": ""Define Your Luxe Look with Farsali Super Lip Gloss - Timeless Elegance"", ""body"": ""Discover the art of luxury beauty with Farsali's Super Lip Gloss, expertly formulated with Salicylic Acid to deliver a rich, vibrant finish that exudes timeless elegance."", ""hashtags"": [""#FarsaliLuxeBeauty"", ""#TimelessElegance"", ""#SuperLipGloss""]}",Generated for Luxury vibe,20.33,Define Your Luxe Look with Farsali Super Lip Gloss - Timeless Elegance
1098,Farsali,Nature,1444,8.6,18,0,0,23.79,4.3,1.8,17.6,0.5,23.79,"{""headline"": ""Blossoming Beauty Within"", ""body"": ""As a flower blooms with the warmth of the sun, your lips can radiate with Farsali's Super Lip Gloss. Infused with the gentle power of Salicylic Acid, discover a more vibrant, radiant you."", ""hashtags"": [""#FarsaliBeauty"", ""#LipGlossObsessed"", ""#GlowingSkin""]}",Generated for Nature vibe,23.79,Blossoming Beauty Within
1099,Too Faced,Minimalist,1446,6.0,18,0,0,20.65,3.0,1.8,15.8,0.5,20.65,"{""headline"": ""Minimalist Magic"", ""body"": ""Experience the simplicity and power of our Magic Powder, formulated with Hyaluronic Acid for effortless beauty."", ""hashtags"": [""#MinimalistBeauty"", ""#EffortlessGlow"", ""#HydrateYourSkin""]}",Generated for Minimalist vibe,20.65,Minimalist Magic
1100,Too Faced,Luxury,1452,10.8,19,0,0,23.15,5.4,1.9,15.8,0.5,23.15,"{""headline"": ""Unlock Your Radiance with Magic Powder - Elevate Your Complexion"", ""body"": ""Indulge in the ultimate luxury makeup experience with Magic Powder from Too Faced, expertly formulated with Hyaluronic Acid for a radiant, long-lasting finish."", ""hashtags"": [""#LuxuryMakeupElevated"", ""#MagicPowderExperience"", ""#TooFacedLuxury""]}",Generated for Luxury vibe,23.15,Unlock Your Radiance with Magic Powder - Elevate Your Complexion
1102,Becca,Minimalist,1458,8.9,19,0,0,22.09,4.45,1.9,15.8,0.5,22.09,"{""headline"": ""Defined by Nature"", ""body"": ""Elevate your look with a subtle yet powerful contour. Our Super Contour is formulated with Glycerin to provide long-lasting hydration and a seamless finish."", ""hashtags"": [""#NaturalElegance"", ""#HydrateAndDefine"", ""#SkincareEssentials""]}",Generated for Minimalist vibe,22.09,Defined by Nature
1103,Becca,Luxury,1461,0.0,0,0,0,-2.77,0.0,0.0,-2.8,-0.3361,-2.77,"{""headline"": ""Reveal Your Radiance with Super Contour - Elevate Your Face Art"", ""body"": ""Indulge in the ultimate luxury of precise definition with Becca Super Contour, formulated with Glycerin for a smooth, long-lasting finish."", ""hashtags"": [""#SuperContourExperience"", ""#BeccaLuxuryMakeup"", ""#FaceMakeupArtistry""]}",Generated for Luxury vibe,-2.77,Reveal Your Radiance with Super Contour - Elevate Your Face Art
1104,Becca,Nature,1467,0.0,0,0,0,-2.77,0.0,0.0,-2.8,-0.4549,-2.77,"{""headline"": ""Rooted in Perfection"", ""body"": ""Just as a tree's roots dig deep into the earth, our Super Contour digs deep into your skin to uncover a flawless, defined you. Formulated with Glycerin for long-lasting hold."", ""hashtags"": [""#BeccaBeauty"", ""#ContourLove"", ""#GlowUp""]}",Generated for Nature vibe,-2.77,Rooted in Perfection
